X.1,Everest,Kangchenjunga,Lhotse,Makalu,Cho Oyu,Dhaulagiri,Manaslu,Annapurna,Total
1950,0,0,0,0,0,0,0,2,2
1951,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0
1953,2,0,0,0,0,0,0,0,2
1954,0,0,0,0,3,0,0,0,3
1955,0,4,0,9,0,0,0,0,13
1956,4,0,2,0,0,0,4,0,10
1957,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,2,0,0,0,2
1959,0,0,0,0,0,0,0,0,0
1960,3,0,0,0,0,8,0,0,11
1961,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0
1963,6,0,0,0,0,0,0,0,6
1964,0,0,0,0,0,0,0,0,0
1965,9,0,0,0,0,0,0,0,9
1966,0,0,0,0,0,0,0,0,0
1967,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0,0,0
1970,4,0,0,2,0,2,0,4,12
1971,0,0,0,2,0,0,2,0,4
1972,0,0,0,0,0,0,1,0,1
1973,10,0,0,0,0,3,3,0,16
1974,0,0,0,0,0,0,4,0,4
1975,15,0,0,7,0,0,3,0,25
1976,4,0,0,3,0,2,3,0,12
1977,2,2,10,0,0,0,0,2,16
1978,25,0,0,7,2,12,0,4,50
1979,18,3,12,0,0,5,0,4,42
1980,10,12,0,1,0,22,3,7,55
1981,5,10,1,2,0,3,20,2,43
1982,18,6,0,7,0,14,2,4,51
1983,23,4,9,0,6,6,9,0,57
1984,16,5,0,3,14,7,14,2,61
1985,30,2,0,5,23,5,4,2,71
1986,4,2,8,5,15,5,2,5,46
1987,2,9,0,6,35,7,3,9,71
1988,39,5,7,4,45,6,5,9,120
1989,24,40,2,1,15,3,9,3,97
1990,72,1,5,7,53,21,1,0,160
1991,38,8,0,16,64,15,5,15,161
1992,90,1,0,0,57,5,3,0,156
1993,129,7,2,6,69,27,8,4,252
1994,51,1,9,2,58,33,2,4,160
1995,83,4,12,24,124,41,11,4,303
1996,98,3,5,10,143,8,28,10,305
1997,85,1,27,5,135,14,23,0,290
1998,121,20,12,12,124,19,3,5,316
1999,118,3,9,10,94,4,14,8,260
2000,145,9,22,11,130,0,10,0,327
2001,182,4,17,18,129,7,9,0,366
2002,159,14,53,10,152,2,30,14,434
2003,267,5,40,5,177,8,2,8,512
2004,337,10,19,19,240,9,0,4,638
2005,307,1,1,0,179,12,0,5,505
2006,494,13,25,7,424,5,40,10,1018
2007,634,0,16,0,176,16,9,3,854
2008,432,10,50,66,98,24,60,1,741
2009,468,24,26,25,233,35,68,3,882
2010,544,4,18,17,21,22,62,26,714
2011,553,36,50,20,102,11,185,8,965
2012,580,1,58,11,31,9,121,18,829
2013,683,15,80,9,129,0,121,3,1040
2014,134,35,0,48,191,13,113,0,534
2015,0,0,0,0,0,0,95,13,108
2016,681,0,0,33,192,11,22,30,969
2017,692,0,73,8,24,63,332,6,1198
2018,818,45,107,23,132,0,277,5,1407
2019,876,67,78,83,52,13,354,32,1555
2020,28,0,0,0,0,0,0,0,28
2021,534,67,0,0,0,50,28,68,747
2022,683,90,156,77,0,38,167,30,1241
2023,656,36,107,71,6,22,8,81,987
Total,12045,513,1128,717,3893,667,2302,477,21742
