Année,Morts,Sommets,X.1
1978,2,25,
1979,6,18,
1980,4,10,
1981,0,5,
1982,11,18,
1983,3,23,
1984,9,16,
1985,7,30,
1986,5,4,
1987,3,2,
1988,10,39,
1989,8,24,
1990,4,72,
1991,2,38,
1992,8,90,
1993,7,129,
1994,5,51,
1995,4,83,
1996,15,98,
1997,9,85,
1998,4,121,
1999,4,118,
2000,2,145,
2001,5,182,
2002,3,159,
2003,4,267,
2004,7,337,
2005,6,307,
2006,11,494,
2007,7,634,
2008,1,432,
2009,5,468,
2010,3,544,
2011,4,553,
2012,10,580,
2013,8,683,
2014,16,134,
2015,14,0,
2016,5,681,
2017,6,692,
2018,5,818,
2019,11,876,
2020,0,28,
2021,4,534,
2022,3,683,
2023,18,656,
